,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Lebu,75,ET,1563119239,68,8.96,38.73,64.4,6.93
1,Langsa,100,ID,1563119240,97,4.47,97.97,70.43,1.95
2,Pisco,90,PE,1563118958,30,-13.71,-76.2,71.6,4.7
3,Bluff,59,AU,1563119243,50,-23.58,149.07,46.85,6.17
4,Chunskiy,100,RU,1563119244,96,56.08,99.63,58.01,2.64
5,Tuktoyaktuk,75,CA,1563119245,82,69.44,-133.03,57.2,4.7
6,Huarmey,99,PE,1563119247,84,-10.07,-78.15,62.87,10.85
7,Ushuaia,40,AR,1563119248,93,-54.81,-68.31,39.2,5.82
8,Broome,75,GB,1563119249,63,52.47,1.45,68.0,11.41
9,Sambava,97,MG,1563119250,76,-14.27,50.17,66.47,4.63
10,Kochevo,90,BG,1563119252,77,42.1,24.92,66.2,4.7
11,Hasaki,75,JP,1563119253,94,35.73,140.83,68.0,6.93
12,Hilo,90,US,1563119047,69,19.71,-155.08,73.4,4.7
13,Mataura,71,NZ,1563119255,78,-46.19,168.86,41.99,9.15
14,Dunedin,85,NZ,1563119257,70,-45.87,170.5,44.01,18.01
15,Koumac,17,NC,1563119258,79,-20.56,164.28,71.69,14.76
16,Qaanaaq,25,GL,1563119259,58,77.48,-69.36,46.13,13.56
17,Butaritari,8,KI,1563119261,68,3.07,172.79,83.57,3.83
18,Rikitea,7,PF,1563119262,85,-23.12,-134.97,74.39,16.44
19,Maryborough,30,AU,1563119263,61,-25.54,152.7,43.61,5.84
20,Porto Murtinho,99,BR,1563119264,48,-21.7,-57.88,75.47,4.81
21,Busselton,30,AU,1563119266,60,-33.64,115.35,50.0,19.53
22,Makakilo City,75,US,1563119267,83,21.35,-158.09,78.8,9.17
23,Bredasdorp,33,ZA,1563119268,63,-34.53,20.04,64.4,11.41
24,Kungurtug,100,RU,1563119269,89,50.6,97.53,55.13,0.81
25,Bathsheba,40,BB,1563119271,66,13.22,-59.52,86.0,24.16
26,Talnakh,0,RU,1563119272,77,69.49,88.39,62.6,6.71
27,Albany,75,US,1563119273,51,42.65,-73.75,82.99,17.22
28,Atuona,14,PF,1563119274,78,-9.8,-139.03,79.79,17.05
29,Thompson,75,CA,1563119276,82,55.74,-97.86,59.0,9.17
30,Troitskoye,0,RU,1563119277,66,52.98,84.68,71.33,11.77
31,Puerto Ayora,20,EC,1563119172,69,-0.74,-90.35,77.0,14.99
32,Port Alfred,15,ZA,1563119259,83,-33.59,26.89,64.0,1.01
33,San Cristobal,25,HN,1563119281,59,14.68,-86.92,76.73,7.25
34,Bridgetown,0,AU,1563119282,79,-33.96,116.14,50.0,1.99
35,Bambous Virieux,40,MU,1563119283,60,-20.34,57.76,71.6,5.82
36,Cairns,53,AU,1563119082,82,-16.92,145.77,62.6,10.29
37,Srednekolymsk,28,RU,1563119286,56,67.46,153.71,55.49,19.48
38,Dinguiraye,68,GN,1563119287,67,11.29,-10.71,85.55,1.23
39,Avarua,0,CK,1563119039,88,-21.21,-159.78,64.4,2.24
40,Matagami,100,NG,1563119289,83,9.67,8.4,77.63,6.67
41,North Platte,1,US,1563119291,61,41.12,-100.77,82.99,6.93
42,Cherskiy,97,RU,1563119292,66,68.75,161.3,43.97,19.82
43,Jumla,89,NP,1563119293,90,29.28,82.18,56.21,2.98
44,Kahului,1,US,1563119236,73,20.89,-156.47,77.0,11.41
45,New Norfolk,75,AU,1563119296,70,-42.78,147.06,44.01,11.41
46,Saint-Philippe,90,CA,1563119297,68,45.36,-73.48,75.99,6.93
47,Trairi,40,BR,1563119298,46,-3.28,-39.27,87.71,7.72
48,Geraldton,75,CA,1563119299,47,49.72,-86.95,75.2,14.99
49,Hithadhoo,34,MV,1563119075,78,-0.6,73.08,83.57,11.36
50,Bend,1,US,1563119169,55,44.06,-121.32,63.0,3.06
51,Mahebourg,40,MU,1563119088,60,-20.41,57.7,71.6,5.82
52,The Valley,40,AI,1563119188,62,18.22,-63.06,86.0,18.34
53,East London,0,ZA,1563119305,68,-33.02,27.91,68.0,2.24
54,Weligama,79,LK,1563119307,77,5.97,80.42,83.75,10.92
55,Camacha,40,PT,1563119129,73,33.08,-16.33,77.0,12.75
56,Punta Arenas,40,CL,1563119309,100,-53.16,-70.91,33.8,11.41
57,Broken Hill,90,AU,1563119310,66,-31.97,141.45,50.0,16.11
58,Carnarvon,0,ZA,1563119037,15,-30.97,22.13,67.91,16.98
59,Lata,99,IN,1563119313,96,30.78,78.62,42.89,3.31
60,Bahia Blanca,100,AR,1563119314,53,-38.72,-62.27,52.07,9.75
61,Cape Town,0,ZA,1563119200,67,-33.93,18.42,60.01,12.75
62,Zhezkazgan,0,KZ,1563119316,15,47.8,67.71,90.41,10.58
63,Takoradi,77,GH,1563119318,64,4.89,-1.75,82.13,5.32
64,Sale,100,AU,1563119319,93,-38.11,147.06,48.0,15.93
65,Hami,76,CN,1563119320,14,42.84,93.51,87.89,6.4
66,Georgetown,75,GY,1563119321,70,6.8,-58.16,86.0,11.41
67,Jamestown,56,AU,1563119095,95,-33.21,138.6,44.87,9.06
68,Tuatapere,100,NZ,1563119324,62,-46.13,167.69,47.75,23.02
